ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
8835,A,Ship,5,4,252,5,low,M,2,1847,1
10872,F,Ship,3,5,205,4,low,F,9,4819,1
9029,C,Road,4,3,187,4,low,M,4,4757,0
8498,F,Flight,3,2,264,4,medium,M,1,4877,0
5121,A,Ship,5,2,176,3,low,M,9,5656,0
7026,F,Ship,4,1,112,6,medium,M,9,5248,1
5563,D,Ship,4,4,228,4,high,M,1,5573,0
7410,F,Flight,5,4,266,5,medium,M, *7 ,1592,1
333,A,Ship,3,5,215,3,medium,F,22,2585,1
4816,B,Ship,7,2,248,4,medium,F,1,1163,1
9838,B,Road,5,5,268,4,low,F,9,4208,0
6021,A,Road,6,4,300,4,medium,F, *7 ,1607,0
4107,A,Flight,6,1,274,5,low,F, *7 ,4292,1
7643,C,Ship,5,2,134,4,low,M,5,5090,0
8500,B,Flight,4,5,234,3,medium,F,10,4204,1
10803,A,Road,4,5,229,5,low,F,3,1954,0
3949,D,Road,4,1,258,3,medium,M,2,4188,0
8241,A,Ship,4,4,221,10,high,M,6,5582,1
559,D,Flight,4,2,164,3,medium,M,15,1489,1
10799,C,Road,4,2,253,5,medium,F,9,1438,0
3714,F,Flight,3,1,192,2,low,M,6,4056,0
8803,D,Ship,3,3,211,3,medium,M,3,5379,1
5312,F,Ship,3,1,182,2,low,F,3,5510,1
4714,B,Ship,4,5,264,3,low,F,10,5972,0
3359,C,Ship,3,4,205,8,medium,M,1,4977,1
5311,D,Ship,2,1,219,4,low,M, *7 ,5573,1
1955,C,Ship,5,4,228,3,medium,M,20,3382,1
10264,B,Road,3,3,160,2,medium,F,3,4665,0
9963,A,Ship,4,2,255,5,low,F, *7 ,1378,0
1761,A,Road,4,3,152,2,medium,M,18,1537,1
6351,A,Ship,5,4,193,3,medium,M,4,5873,0
9799,D,Ship,5,5,210,6,low,M,3,5051,0
5846,F,Ship,5,1,138,3,low,M,10,5612,1
3294,F,Flight,5,2,257,4,medium,M,9,5088,0
4041,A,Ship,3,2,228,3,medium,F,4,4208,0
10864,B,Ship,4,2,261,3,low,M,4,5345,1
6051,A,Ship,6,4,271,4,medium,M, *7 ,1867,0
10272,F,Flight,3,3,220,3,low,F,2,5065,1
1442,F,Ship,3,4,133,3,low,M,17,1187,1
1481,C,Road,4,1,226,3,low,F,28,2211,1
9358,B,Ship,6,1,283,5,low,F,9,1311,1
9571,D,Road,4,4,146,2,medium,F,5,4356,0
9537,A,Ship,3,2,222,4,medium,M,10,5720,0
7221,A,Ship,4,2,273,5,medium,F, *7 ,2000,0
2901,A,Ship,3,3,274,3,low,M,6,2986,1
3775,D,Ship,4,2,204,2,low,F,1,4533,0
9674,F,Ship,5,3,267,5,low,F,1,1505,0
10282,B,Flight,3,2,152,3,medium,F, *7 ,4244,0
4928,F,Flight,5,5,137,4,low,M,4,5888,0
5867,C,Road,4,4,206,2,high,M, *7 ,4093,1
9996,F,Road,6,4,272,2,low,M, *7 ,4145,0
3380,F,Ship,2,2,162,3,high,M,10,4489,1
5423,C,Ship,6,5,201,5,medium,M,3,5771,0
9986,F,Road,4,4,233,3,low,M,9,4300,1
10707,A,Ship,5,4,255,6,low,M,4,1255,1
7986,F,Ship,4,3,154,10,high,M, *7 ,5317,0
7816,B,Flight,3,2,261,2,medium,M,10,4035,0
7663,D,Road,3,3,189,3,high,M,9,4278,1
4713,A,Ship,4,1,151,6,low,M, *7 ,4387,0
9889,D,Ship,7,2,255,4,medium,F,10,1372,0
9945,A,Ship,7,5,268,4,medium,F,9,1754,1
8384,F,Ship,5,3,156,4,medium,F, *7 ,5868,0
4753,D,Ship,3,4,272,8,high,F,10,4070,0
10113,A,Road,3,3,137,3,high,M, *7 ,5794,1
6490,B,Ship,5,1,232,3,low,F,10,1014,1
1539,A,Ship,4,4,142,4,medium,M,2,1461,1
10520,F,Ship,4,3,263,2,low,M,9,4210,0
3426,F,Flight,4,5,219,3,medium,M,6,5957,1
4867,D,Ship,4,3,158,5,medium,F, *7 ,4344,1
138,F,Flight,3,5,162,2,medium,M, *7 ,1739,1
10524,F,Road,4,4,238,4,high,M,1,5702,1
4261,D,Flight,4,2,203,3,low,F,4,5699,0
9083,C,Ship,5,5,167,3,medium,M,9,4319,1
5076,F,Flight,3,1,197,5,medium,F,6,5919,0
9457,D,Flight,6,4,264,5,medium,F, *7 ,1220,1
3435,A,Flight,4,3,267,4,low,M, *7 ,5140,0
8722,B,Ship,4,5,198,2,medium,F,9,4108,0
10957,D,Flight,4,3,192,4,high,M, *7 ,4949,0
9334,B,Ship,5,3,194,4,low,M,9,5851,0
3013,D,Flight,5,5,147,2,medium,M,19,1936,1
6839,C,Road,4,3,207,10,low,F,9,4179,0
437,C,Ship,5,4,222,3,low,F,20,3632,1
7783,D,Road,3,3,196,3,low,M,9,4431,0
3530,F,Ship,3,5,197,3,low,M,3,5658,0
8061,A,Road,5,5,186,4,low,M,3,4287,0
6601,D,Ship,6,4,297,5,high,M,6,1631,0
7330,B,Ship,4,5,135,3,low,M,1,5013,0
3577,D,Flight,4,5,168,4,medium,F,4,4776,1
3780,F,Ship,2,1,111,2,low,F,1,4296,1
9583,D,Road,5,5,184,2,medium,M,9,4649,1
6462,F,Ship,2,1,285,5,low,M,4,5759,0
8397,A,Ship,3,3,239,2,medium,F,2,5625,0
9181,D,Flight,7,3,302,4,medium,F, *7 ,1915,0
9925,D,Ship,6,2,267,4,low,M,10,1580,0
8698,B,Ship,5,4,252,3,medium,M,2,4162,0
3283,D,Road,3,4,175,3,low,F,3,4449,0
6163,D,Flight,3,2,220,3,low,M, *7 ,5032,1
7479,A,Ship,5,5,245,5,low,F,1,1924,1
616,B,Ship,4,1,177,4,medium,F,33,1049,1
411,A,Flight,3,2,264,3,medium,M,5,3861,1
501,A,Ship,3,4,212,2,low,M,33,2021,1
5284,B,Ship,6,4,292,4,medium,F, *7 ,1094,1
5450,F,Ship,5,3,169,4,low,F,4,5683,0
5411,C,Ship,4,2,149,5,medium,F, *7 ,4209,0
5543,C,Ship,3,4,142,2,medium,F, *7 ,5346,0
5127,A,Ship,3,5,253,2,low,M, *7 ,5476,1
4373,C,Road,3,3,190,3,medium,M,2,4468,1
3355,D,Ship,4,4,161,4,low,M,5,5038,0
7082,F,Ship,4,3,260,3,low,F,5,5540,0
5738,F,Road,5,1,248,2,low,F,6,5281,0
2130,F,Ship,4,4,165,5,low,M,21,1727,1
60,F,Ship,4,1,150,3,high,F,17,1923,1
8416,B,Ship,4,1,260,5,low,M,1,5559,1
6659,C,Ship,3,2,250,4,low,F,3,5449,1
7549,D,Flight,5,2,268,3,medium,M, *7 ,5385,1
846,F,Ship,5,2,145,5,medium,F,22,1818,1
975,A,Flight,5,3,96,4,medium,F,12,1655,1
7148,F,Ship,6,4,279,4,low,M,9,1128,0
2465,C,Flight,5,3,167,2,low,M,3,1140,1
10294,B,Ship,2,4,144,2,medium,M,5,5867,0
7760,F,Ship,7,5,253,4,low,M,10,1166,1
8204,F,Road,4,3,238,2,low,F,1,4051,0
6855,A,Flight,3,5,192,3,low,F, *7 ,4056,1
8106,F,Ship,4,2,237,2,low,F,1,5261,0
9104,F,Ship,5,3,253,5,low,M,6,1028,0
240,F,Ship,2,3,158,3,low,M,10,1515,1
9244,B,Ship,4,5,136,2,medium,M,4,5923,1
568,B,Ship,5,2,268,3,low,M,19,2526,1
10261,D,Road,5,4,200,3,medium,M,3,4225,0
7622,F,Ship,3,4,145,4,high,M,4,5801,0
3616,B,Ship,6,5,194,5,low,F, *7 ,4777,0
4833,A,Ship,4,5,140,3,medium,F, *7 ,4956,0
2591,C,Road,4,2,161,3,medium,F,10,1928,1
1965,A,Ship,6,5,212,4,medium,F,13,3676,1
795,A,Ship,4,5,255,4,low,M,14,3099,1
3667,D,Ship,4,4,274,3,high,F,3,4202,1
8472,F,Road,4,5,248,2,medium,M,4,4789,1
10925,C,Ship,4,2,249,5,low,M,1,1200,0
6536,F,Ship,3,2,194,3,low,F,3,5779,1
8608,B,Road,6,5,275,4,low,F,6,1872,0
1911,A,Road,4,5,162,3,low,F,31,1170,1
8456,F,Ship,5,5,231,3,medium,F,10,5361,0
8373,A,Flight,4,2,246,3,medium,M,1,5113,0
7475,C,Ship,5,4,263,4,low,F,2,1625,0
5373,A,Ship,3,1,183,2,medium,F,3,4042,0
6705,A,Road,5,3,230,3,medium,M,4,4914,1
8051,C,Ship,6,1,295,4,low,M,10,1600,0
4202,F,Ship,4,4,270,2,low,F,1,5148,1
9684,F,Ship,4,1,234,5,low,M,3,1134,0
3741,A,Ship,5,2,241,3,low,F,10,4244,1
6584,F,Flight,5,2,244,6,low,F, *7 ,1315,0
2001,A,Ship,4,3,135,3,medium,F,11,1322,1
1429,D,Ship,6,2,135,5,low,M,26,1585,1
6952,B,Ship,5,4,143,3,medium,F,1,5165,1
8433,A,Ship,4,1,188,2,low,M,10,5085,1
7516,B,Road,5,5,240,5,medium,M, *7 ,1255,0
4439,C,Ship,4,1,257,4,low,M,5,5875,1
7736,F,Ship,4,2,275,5,low,F,6,1438,0
2847,A,Ship,2,1,257,2,low,F,24,2130,1
6458,F,Ship,2,3,266,2,low,M,1,5356,0
3065,C,Ship,2,5,164,4,medium,M,2,1439,1
8545,D,Ship,3,1,188,4,medium,F, *7 ,5884,1
1990,B,Ship,3,1,155,2,medium,F,6,1490,1
5231,C,Ship,4,3,262,3,low,M,9,4404,1
6837,A,Road,4,3,247,3,high,F,1,5214,0
3220,B,Ship,5,3,212,2,low,F, *7 ,5219,0
6858,F,Flight,3,5,242,2,low,M,1,5803,1
10385,C,Ship,3,4,252,2,high,M,9,4278,0
3869,C,Ship,4,3,235,3,high,F,10,4172,0
3455,C,Ship,4,4,149,3,low,F, *7 ,5658,1
180,F,Ship,5,5,255,4,medium,M,3,3440,1
822,F,Flight,2,1,98,3,low,F,29,1806,1
3281,C,Road,4,3,196,2,medium,F, *7 ,4116,1
10243,D,Ship,4,2,160,3,low,M,5,4492,0
9517,D,Ship,4,4,169,4,medium,F, *7 ,5493,0
10960,B,Flight,4,2,227,10,low,F,10,4619,0
814,B,Road,3,2,140,2,high,F, *7 ,1401,1
5995,D,Ship,3,5,133,8,medium,F, *7 ,5002,1
7341,A,Ship,4,2,154,2,medium,F,6,4705,1
7133,C,Flight,3,1,266,7,low,M,5,4102,1
2589,A,Road,3,1,197,2,low,M,4,3621,1
4686,F,Ship,4,3,195,2,low,M, *7 ,4576,0
2323,D,Road,3,5,268,4,high,M,19,2893,1
6072,F,Ship,3,4,257,5,medium,F,5,5365,0
5405,C,Ship,4,3,190,4,medium,M,4,4102,1
5598,F,Road,5,2,251,3,low,M,9,4298,1
4603,D,Ship,3,3,233,3,low,F,5,4976,1
10958,F,Flight,4,3,229,4,low,F, *7 ,4829,0
6129,A,Ship,3,3,132,2,medium,M,1,4687,0
2391,A,Ship,4,2,139,3,medium,M,5,1674,1
9682,B,Ship,4,3,232,5,low,F,9,1856,0
6469,D,Ship,3,5,206,2,low,F,4,4080,0
407,C,Flight,4,1,180,2,low,M,23,1193,1
6643,D,Ship,3,4,244,3,medium,M,2,5389,0
2718,F,Road,4,5,159,3,low,M,2,1048,1
1452,F,Ship,3,2,257,3,low,F,6,3620,1
6432,F,Road,3,1,201,6,medium,M,10,5077,1
3804,F,Ship,3,4,196,3,medium,M, *7 ,5204,0
8028,F,Ship,6,5,301,4,low,F, *7 ,1393,1
8938,B,Ship,6,4,296,4,medium,M,5,1782,1
2410,B,Ship,3,2,180,2,low,F,6,1811,1
4519,D,Flight,4,4,244,2,medium,F, *7 ,5543,1
4479,A,Ship,3,2,197,5,medium,F,9,4291,1
10302,F,Ship,4,1,228,3,medium,M,4,5347,1
9564,F,Road,4,5,191,2,low,M,10,5068,1
8254,B,Ship,3,2,274,2,high,M,2,5029,0
5392,B,Ship,4,4,222,2,medium,M, *7 ,4343,0
10253,C,Road,4,1,239,3,medium,F,9,4930,1
1019,C,Ship,3,2,167,2,low,M,2,1010,1
4321,D,Ship,4,3,258,3,high,F,1,4653,0
6973,D,Road,3,4,150,3,low,F,5,4950,0
8445,A,Ship,6,4,281,3,low,F, *7 ,5180,0
4903,D,Ship,5,1,255,3,high,M,6,4044,1
9279,A,Ship,5,5,221,2,medium,M,10,4255,1
4114,B,Flight,5,1,238,2,medium,M,5,5441,1
4113,A,Flight,5,4,143,5,medium,F,5,4393,1
4045,D,Ship,2,1,228,3,high,F,1,5500,1
8876,F,Ship,5,4,225,5,low,F,6,2000,0
8572,B,Ship,3,5,233,2,medium,F,2,4193,0
10727,C,Ship,5,1,219,5,low,M, *7 ,1419,1
1813,D,Ship,4,2,185,2,medium,M,4,2212,1
5339,C,Flight,2,5,254,2,low,M,10,5718,1
3164,F,Flight,5,2,160,3,high,M,1,5834,0
7517,C,Road,5,4,228,5,low,M,5,1844,0
4361,C,Road,4,5,142,2,low,M,2,5150,1
3771,A,Ship,3,5,157,3,low,M, *7 ,5100,0
10138,B,Flight,6,5,277,4,medium,F,5,1845,1
8375,C,Ship,4,1,145,3,medium,M, *7 ,4915,0
3853,D,Flight,6,4,148,4,low,F,10,5088,0
7575,A,Ship,3,5,270,3,medium,M,5,4843,1
10402,B,Road,4,2,187,3,high,F,5,4897,1
6441,A,Flight,3,4,186,6,low,F, *7 ,4134,0
7904,F,Ship,5,2,154,4,low,F, *7 ,4820,0
309,A,Ship,4,2,165,2,high,M,11,1596,1
6840,F,Road,4,5,201,10,low,F, *7 ,5340,0
2632,B,Ship,5,3,167,3,low,F,5,1772,1
8716,B,Ship,2,1,198,2,low,M, *7 ,4323,0
7530,F,Road,5,2,204,5,low,M,3,5723,1
6919,D,Ship,6,1,254,4,medium,F,6,1928,1
2675,C,Ship,4,3,183,2,low,F,32,3709,1
5319,A,Road,6,4,143,4,medium,M,4,4401,0
4384,B,Flight,3,3,150,2,medium,M,3,5836,0
7853,C,Ship,3,5,150,3,high,M,6,4565,0
694,B,Flight,3,3,207,7,medium,M,19,2182,1
1541,C,Ship,6,5,111,6,high,F,28,1216,1
1300,B,Ship,3,4,160,2,medium,M,32,1085,1
6755,C,Ship,4,1,160,5,low,F,10,4018,1
5043,A,Road,6,3,247,4,medium,F,9,1011,0
4513,D,Road,4,2,266,3,high,M,5,4831,1
6513,A,Ship,7,5,250,4,low,M,1,1690,1
7828,B,Ship,2,2,173,3,low,F,10,4736,0
1710,F,Ship,3,3,152,2,low,M,32,1665,1
5715,A,Ship,4,2,258,7,medium,M,3,4538,1
7642,B,Ship,4,3,252,4,low,M,2,5226,0
9140,F,Ship,6,5,298,4,medium,F, *7 ,1759,1
5218,B,Flight,6,4,275,4,low,M,9,1585,0
4564,B,Ship,6,2,274,4,medium,M, *7 ,1626,1
10717,D,Ship,5,2,224,5,low,F,2,1022,0
8788,B,Ship,3,4,151,3,medium,F,3,4938,0
5717,C,Ship,5,1,250,4,medium,M,10,5306,1
2055,A,Flight,3,1,145,2,low,M,28,1313,1
5663,C,Ship,4,2,237,3,low,M,2,5277,0
5122,B,Ship,3,1,206,3,medium,M,5,5676,1
3128,F,Road,3,3,193,2,low,M,19,3097,1
4115,C,Flight,2,1,156,3,medium,M,3,5937,0
3974,F,Flight,5,2,165,2,medium,F,6,4819,1
3152,F,Flight,2,4,274,10,high,M,3,4167,1
3472,B,Ship,3,4,259,2,medium,F,3,4154,1
3527,C,Ship,3,1,223,4,low,M,1,4195,0
10596,F,Ship,4,5,183,2,low,F,1,4741,0
254,F,Road,2,5,160,3,low,F,19,1399,1
10240,B,Ship,5,2,218,3,low,M,4,5363,1
5921,C,Ship,5,5,154,2,medium,M,3,4669,0
10140,F,Flight,4,5,258,5,low,M,3,1162,0
4266,F,Ship,3,4,237,3,high,F,9,5514,1
1577,C,Ship,5,1,261,3,low,M,25,3494,1
2846,F,Ship,4,5,146,3,low,F,9,1685,1
10818,F,Road,4,3,223,2,low,F,3,5765,1
3783,A,Ship,4,1,157,2,medium,F,5,5647,0
8272,B,Ship,6,5,301,4,low,F,4,1707,1
1675,D,Ship,3,3,267,2,low,M,18,2435,1
6137,C,Ship,3,2,177,2,medium,M,4,4417,0
9408,F,Ship,7,3,244,4,medium,M,10,1629,0
3866,F,Ship,3,4,209,3,medium,M,2,4976,0
7359,A,Ship,4,1,139,3,medium,M, *7 ,4550,0
9588,F,Flight,5,1,170,4,medium,M,4,5113,1
832,B,Flight,3,5,224,3,medium,F,20,2937,1
5451,A,Ship,5,3,268,3,medium,F,9,4152,1
7734,F,Ship,6,3,301,4,low,F,2,1083,0
6343,D,Ship,3,1,286,4,medium,M,4,5106,0
8169,A,Ship,5,5,193,4,medium,M, *7 ,5714,0
8164,B,Ship,5,1,146,3,high,F,3,4345,1
6688,B,Road,5,4,221,5,low,M,6,5059,0
4486,B,Ship,5,3,215,4,low,M,5,5915,1
1095,A,Flight,3,1,185,3,medium,M,3,3051,1
6881,C,Ship,4,4,247,6,low,F,4,1044,0
10405,D,Road,5,3,243,6,low,F,1,1856,0
2710,B,Ship,3,2,137,3,medium,F,9,1347,1
9426,F,Ship,4,5,251,5,medium,M,10,1683,1
4855,D,Ship,2,5,284,3,medium,M,6,4575,0
7324,B,Ship,5,1,151,6,medium,M,2,4529,0
3914,F,Ship,3,3,212,3,medium,F,10,5935,0
3932,F,Ship,2,4,187,6,medium,F,9,4388,0
983,C,Ship,3,2,175,4,medium,F,17,1276,1
825,A,Flight,3,1,142,2,high,M,18,1428,1
6361,D,Ship,4,1,168,2,low,M,3,4665,1
5968,B,Ship,6,3,270,4,low,F, *7 ,1079,0
8290,B,Ship,3,5,185,4,low,M,9,5704,0
8234,F,Flight,2,4,142,3,high,M,2,5700,0
10091,C,Ship,4,5,141,2,low,M,1,4395,1
6605,C,Ship,6,3,295,4,low,F,10,1495,0
8932,B,Ship,5,5,257,5,low,M,5,1657,0
7344,F,Ship,3,2,151,2,medium,M,1,5179,0
1458,F,Ship,4,4,232,4,low,M,27,3436,1
5723,C,Ship,6,3,266,4,medium,M, *7 ,1983,1
5119,D,Ship,5,2,139,4,low,F,9,5070,1
6960,F,Ship,5,3,206,3,low,F,1,4645,0
2764,B,Ship,3,2,191,4,medium,F,16,2277,1
6289,D,Road,4,5,264,6,low,M,6,1637,0
6336,F,Ship,3,1,264,3,low,F,5,5043,0
6237,A,Ship,4,2,210,3,low,F,9,4163,0
10500,F,Ship,3,4,239,2,low,F,10,5674,1
9885,A,Ship,6,1,259,4,low,F,4,1198,0
9835,D,Ship,3,4,248,3,medium,M, *7 ,5299,0
8600,F,Ship,4,1,232,5,medium,M, *7 ,1943,0
8224,B,Flight,3,4,140,3,low,M,3,5300,0
5729,C,Road,5,5,227,5,medium,F,3,1687,0
9339,A,Ship,5,1,151,3,medium,M,2,4172,1
7244,F,Road,4,4,190,2,low,M,2,4460,0
3637,D,Ship,5,3,249,3,medium,M,10,5001,1
9955,D,Ship,6,2,260,4,low,F, *7 ,1522,0
10642,B,Ship,3,4,133,4,low,F,10,4571,0
8700,F,Ship,3,1,162,3,low,M, *7 ,5073,0
6627,A,Ship,3,3,209,2,medium,M,1,5098,1
8282,F,Ship,4,5,256,4,low,F, *7 ,5244,1
9009,A,Ship,6,2,130,5,low,M,3,5654,0
7777,D,Ship,5,1,249,3,low,F, *7 ,5940,0
10484,F,Ship,4,2,253,5,medium,F,3,1092,0
10217,C,Ship,5,1,271,5,low,F,4,1557,1
121,D,Road,4,2,183,3,low,F,33,2741,1
9714,F,Road,4,2,247,5,low,M,10,1515,0
7186,B,Ship,6,1,301,4,low,F,3,1200,1
9401,C,Ship,6,4,285,4,medium,M,4,1244,1
655,D,Ship,4,5,249,2,low,M,4,2725,1
8451,A,Ship,4,3,214,2,medium,F,6,4345,0
5934,F,Ship,3,1,183,2,medium,F,10,4598,0
7474,B,Ship,5,4,242,5,medium,M,1,1824,1
7473,A,Ship,4,4,254,5,low,M,2,1573,1
9389,C,Ship,6,3,141,3,low,M, *7 ,5222,1
3430,B,Flight,3,5,245,6,high,M,9,4793,0
9241,D,Ship,4,4,246,3,low,M,9,5041,0
10613,C,Ship,5,2,252,3,low,M,6,4013,1
5781,A,Ship,5,4,269,5,low,F,4,1537,1
4889,C,Ship,6,5,206,6,low,M,2,4014,1
5923,D,Ship,3,3,208,2,medium,F,5,5661,0
9435,A,Road,3,1,146,5,low,M,10,1737,0
7451,C,Ship,4,4,239,5,low,M,6,1986,1
8212,B,Road,3,4,206,3,medium,F,5,5915,0
6255,A,Ship,6,1,282,4,low,M,1,1434,0
10770,F,Ship,4,1,273,6,medium,M,1,1826,0
10083,A,Ship,3,4,164,2,low,M,1,4067,1
6796,B,Ship,3,4,178,8,medium,F,6,4146,0
10720,B,Ship,5,5,221,6,medium,M,6,1429,0
9046,B,Flight,4,2,199,3,low,M,4,4070,0
5446,B,Ship,3,5,252,4,low,F, *7 ,5328,1
6167,C,Flight,4,3,250,2,medium,M,4,4808,1
9496,B,Ship,4,3,184,3,low,F,9,5602,0
4897,D,Ship,3,1,264,4,low,M,10,4265,0
4767,A,Ship,5,4,199,4,medium,M,2,4902,1
9842,F,Road,5,4,208,6,medium,M, *7 ,5098,0
2045,C,Road,3,5,109,5,low,M,27,1581,1
1554,F,Ship,4,2,190,2,medium,F,6,3595,1
673,D,Road,5,4,263,3,high,M,10,2538,1
5767,D,Flight,6,1,249,4,medium,M,2,1189,1
5091,A,Ship,4,4,168,3,low,M,6,5488,1
8824,B,Ship,6,2,305,4,low,F,9,1567,0
4437,A,Ship,3,4,212,3,medium,M,10,4663,0
6670,B,Ship,3,1,266,5,low,M,1,5459,0
8477,C,Road,5,1,258,6,low,F, *7 ,4344,0
8085,A,Flight,2,5,239,2,low,F,9,5363,1
1693,D,Ship,4,4,212,4,medium,F,2,3830,1
5027,C,Ship,6,3,256,5,low,F,1,1980,0
3626,F,Ship,3,4,165,2,medium,F, *7 ,4280,1
5956,B,Ship,3,4,153,3,medium,F,9,5474,0
8414,F,Ship,4,3,257,3,low,M, *7 ,4447,1
7533,A,Flight,3,1,166,5,low,F, *7 ,4759,1
4426,B,Ship,5,5,188,3,low,F, *7 ,4485,1
10094,F,Ship,3,1,173,2,medium,F,1,5927,1
10512,F,Ship,4,3,190,2,low,F, *7 ,5834,1
2556,F,Ship,3,5,150,2,low,M,29,1934,1
5550,F,Ship,3,4,168,2,medium,M,9,5235,1
7047,A,Ship,3,4,175,3,low,M, *7 ,4274,1
5281,D,Ship,6,5,261,4,low,F,3,1217,1
3239,C,Ship,4,3,250,3,medium,F,3,5055,1
8658,F,Ship,4,4,252,5,medium,M,2,1995,1
8210,F,Road,4,3,152,4,medium,F,4,5809,0
7368,F,Ship,3,4,140,6,low,M,9,4558,0
571,D,Ship,2,2,236,3,medium,M,3,3416,1
8909,C,Flight,6,2,290,4,medium,M,1,1111,0
9855,A,Road,3,3,274,3,low,F,5,5981,1
10996,B,Ship,4,1,232,5,medium,F,6,1247,0
5592,F,Road,2,3,201,3,medium,M,5,5733,1
2797,D,Ship,3,2,145,2,medium,F,29,1690,1
3266,F,Road,4,2,227,3,low,M,2,4318,1
7607,C,Ship,5,2,173,3,low,M, *7 ,4797,1
6016,B,Road,4,2,227,5,low,M, *7 ,1354,1
6914,F,Ship,5,5,256,5,medium,M,2,1693,1
6406,B,Ship,5,1,137,4,high,F,1,4042,0
4590,F,Ship,5,5,106,5,medium,F,4,4410,1
10593,A,Ship,5,5,189,3,low,F,10,5554,1
3215,C,Ship,5,2,145,4,medium,F,9,4028,0
7214,F,Ship,7,4,247,4,low,F,9,1228,0
10685,C,Flight,3,5,169,3,low,F,4,5659,0
9168,F,Road,6,4,260,4,low,F,1,1883,0
556,B,Flight,5,4,189,5,low,M,3,3301,1
7664,F,Road,3,1,252,2,low,M,9,5050,0
8404,B,Ship,3,4,250,3,low,M,6,5565,0
5693,C,Ship,5,1,136,3,low,M,10,5308,0
10900,B,Ship,2,1,229,3,medium,M,9,5075,0
5217,A,Flight,6,2,293,5,low,M,2,1494,0
1895,C,Road,3,2,168,3,low,M,15,1862,1
8240,F,Ship,3,2,185,4,low,M,6,5854,0
6038,F,Flight,6,2,293,4,low,F,4,1764,1
9828,F,Ship,5,4,143,2,low,M,1,5872,1
6544,B,Ship,6,1,261,4,medium,F, *7 ,1524,0
8421,A,Ship,5,3,199,3,low,F,3,4885,1
3734,F,Ship,5,5,228,5,low,F,6,4506,0
10577,C,Ship,3,5,196,3,low,F,5,4891,0
7592,F,Ship,5,2,169,3,medium,M,3,5692,0
2976,F,Ship,4,1,220,3,high,M,2,3886,1
3602,F,Ship,3,2,143,4,medium,F, *7 ,4486,0
10973,C,Flight,4,1,249,5,low,F,10,1762,1
6807,A,Ship,6,5,285,7,medium,M,9,4112,0
10637,C,Ship,5,5,132,3,low,F,2,5552,0
